"LL","PSFS","PSLS","FL","LINE","BB","OTHER"
33791.2311861476,0.196196835534911,280.756622988683,126.278991699219,729.243332862854,419.644527435303,491.598435282708
35488.1422922819,5.87031069637815,329.720471788944,142.257064819336,832.386119842529,429.040191650391,553.371442556381
35620.7973888262,3.84444098219212,373.154170468004,159.164794921875,933.653842926025,592.553454399109,624.685642242432
43831.8951277479,48.6090578582617,672.000876297012,210.886795043945,1198.86382102966,585.368369579315,879.223419427871
48786.974332049,274.286609570521,2083.78598637353,203.994033813477,1131.98560142517,657.66770863533,859.961277484894
38527.1003615104,2104.93404149562,5140.49439832391,212.253326416016,953.548357009888,852.481132030487,889.313234329224
43599.3161443203,2667.03446406257,7118.22152840781,220.738494873047,1012.43859659135,821.809067487717,952.538374593837
46875.7133904411,2772.40084172486,7934.55058047146,276.343826293945,960.332126617432,720.157031595706,965.505119729879
49903.4184954706,4572.77961013808,9095.911446873,233.632888793945,983.12652015686,864.180537164211,1119.81990930333
53372.2253569913,6941.00197416215,9857.04720573862,2243.03369903564,1040.01968002319,977.694954395295,3158.06401908398
44472.4634286349,4014.17525228102,10866.5558303019,9740.65630340576,1081.5041847229,1052.06997823715,1731.24317550659
45587.927427148,5949.67344765031,8380.89341052083,12085.3561172485,1125.75645065307,895.828071594238,1508.60949153569
45993.0708159475,5303.9486567284,11022.3097883471,11992.3155326843,1245.31787490845,1188.58874130249,1493.32527756377
40004.8600523721,2224.05948265237,9708.84908329223,14315.2173690796,1345.77574157715,1093.16454696655,1409.04947306128
66594.9302689387,7308.08382097602,9658.84525749181,12532.6604052165,1539.19882501927,1503.36107254028,1882.64363526109
64773.2069559741,4896.32344668261,15094.3295084353,17056.1634373356,1626.07080227343,1647.08614349365,2138.50976910351
69102.6812194976,5047.87105263964,24490.6483468445,10888.6890700459,1841.10098266602,1657.09888458252,2410.27142572403
74408.466283331,4059.19559467926,21968.6120333859,8173.24574724525,1979.64677429199,2170.11119842529,2852.66770601273
78431.699965396,2632.96811093628,32974.0541642272,10674.9586109063,2298.41957092285,2217.88632965088,3152.32947492599
82241.1793755795,6620.98533138717,23270.5471921415,7881.14544732449,2226.36299941162,2207.96601867676,2991.24108872728
75314.3406289668,5866.95828650017,36484.5120810779,7315.21667775932,2248.03055957407,2746.3264541626,3182.04729731293
73986.5317384166,5631.74539595757,25813.0199168474,7585.20517317968,2082.28405761719,2190.15780639648,2984.57506288941
68291.5558057163,4493.52434651187,20836.8821911598,8860.11167270491,1849.44831433334,2539.32597351074,2954.7027091459
75953.6415613044,4330.34127960143,26694.9740383389,10505.6928173021,2140.91272997734,2641.52561950684,2832.84328136998
86515.5212936624,7915.12604597901,17344.9067958226,8336.84427639349,2622.39794295649,2595.5573425293,2858.40917471982
92211.5392097075,4084.6520224391,20932.9211140098,11753.1399548185,2691.56454307124,2684.74852752686,3184.69402164806
78897.2408354223,8484.21739546303,19506.0039485311,10341.1092775217,2325.48371402901,3049.68634796143,4057.12987954961
75051.1792700205,6407.05275295764,20248.1641218786,11474.1802501154,2342.26112981864,2880.56150817871,4598.0526979516
76431.4276022103,5672.20183376066,20254.7160067388,11386.9890523072,2298.13509261806,3141.29940795898,4556.47924156879
55097.987750632,9646.34058966106,22004.7230252276,11127.0546968728,2525.02729227086,3291.1395111084,4711.6224437436
55225.7056299697,5301.22048569799,27111.782468785,9931.1562936306,2916.73457962028,3473.66374206543,5711.83100328625
30000.4888153694,3792.05309611599,20700.5522267069,7791.82953095436,7231.24630182327,3147.66276550293,6622.42815489351
32023.560454925,6222.2062671826,19012.322108443,6208.0213804394,7993.23603689908,4088.50135803223,4465.26718214588
62322.7573286141,7179.58565501477,13324.049038131,5393.71228286624,10552.2733654625,3147.31049104461,5381.47008515505
41627.9518160469,4659.28364695628,25807.7957349865,8608.126765728,10173.8960739812,3642.07544095674,4820.03069617446
32587.8979481555,5000.4984375582,18343.9096882755,9569.6397369504,11746.3908117002,3409.03861461856,5235.13413709237
31585.9602521658,9369.17555467182,18710.6547099205,7602.88704383373,12236.6195271757,3464.24973907923,5059.99884082392
28383.1182592425,2375.06565133802,23630.2162909291,5804.08433382848,12598.983036175,3270.87313652564,7321.53414682757
23900.3861992228,10042.3408212965,23853.554177254,7063.28801727295,11865.5124574985,3930.72516308524,6510.52365277927
19944.5825917282,3173.03979590254,43933.9628896443,6424.58588460088,7179.08142107415,901.760324221553,7058.8578599274
22347.4419540035,7112.73569443198,21183.1227650407,6240.03635978699,8399.1168322108,1563.46808335294,6611.87338958446
27152.8466590581,3917.51470865691,22710.6028030924,7772.19996929169,9989.01105515628,1663.91343705951,6215.3756049817
25089.4623137903,8650.38116242209,30947.0076987533,8885.20115470886,9521.04492405626,1771.43097502798,6019.7378811985
20759.3634334888,7254.15554448965,35031.8926191741,10204.5079667907,8019.83925755869,1900.57572306045,7662.02419388084
22272.4973065788,11115.2540255765,34004.5013307353,11517.9398878928,10050.0156717343,7501.49479094206,8748.08654921987
24768.734338289,8017.7404890128,29568.3385515145,7845.88114333726,10755.8700055521,7701.90241651151,13063.2310731311
